date,input_schema,categories,period_count,summary_case_count,total_system_cost,total_violation_cost,maximum_violation_mw,minimum_energy_price,maximum_energy_price,maximum_reserve_price,maximum_branch_utilization,input_sha256,result_tree_sha256
2019-02-18,vspd-v3-final-pricing,violation,48,48,2529703.67887,850000,0.5,0,363.895,38.824,0.89312962963,c45fd64b27c947e74ac05229f56843408ab68e89181fba905c2eebf433450ae0,9864a8b584ea456b50e62610ee9720a43e9aa140a984954e463c36a1d12da403
2019-04-07,vspd-v3-final-pricing,dst-long-day,50,50,1666343.59951,0,0,0,222.906,24.99,0.836842105263,032b05d343affcbdebc6ccad193b7ee05ba4879de885595ebe7170f6d9ee7d10,b0f62cbf1db95642b143e473a08e4d3f4be08d4eaad3a6587cd4b0ac1323cacb
2019-05-16,vspd-v3-final-pricing,,48,48,1256401.49151,0,0,0,150.436,3,0.810683269962,44636b4f211af080bf03185c714c41ffddd96c6012da0904e440703c595aee17,fe9e557347562cf66de771dca3f571119604b0b55564b80295b39142491f26a3
2019-06-05,vspd-v3-final-pricing,,48,48,1801798.93831,0,0,0,512.496,183.06,0.847573805668,aa5f0df2f02b217df5e5c423b5afa0ca0603f68ec6bcd8915c521f192066e96e,80dbab5951785c6e00e9bd4de387e9572b271c7ac5fde800e47fe41e84be5deb
2019-06-06,vspd-v3-final-pricing,,48,48,1509031.78625,0,0,0,197.689,28.33,0.823169716599,385d33e1e041a998802acd3228907f8367fa714274fea8701156efa265b8e8dc,2fa7c343dd94ae95bb039f9d2888f8ebd07d807aec0b1e0aa746946ba743c42b
2019-06-19,vspd-v3-final-pricing,high-energy-price;high-reserve-price,48,48,3410214.85777,0,0,0,1024.226,313.859,0.830701754386,aef96e63c46f9272b06c1d7b9e2c0384cce67a8ebd601a354d3744877b36f733,e7a1dc985e8b79be85c624b89e628d46a883199c95dea998fd3daa0cd5323d24
2019-06-22,vspd-v3-final-pricing,,48,48,1466816.05199,0,0,0,176.373,8.48,0.840350877193,62cb85144a54ef87b48bac34281030a918fab174e2ccad06f341bf0b4b65b448,946e0606a55eae0d7a72e9fda52e9a050ab9c7d2851ab40c3f5c0540cda44c65
2019-09-29,vspd-v3-final-pricing,dst-short-day,46,46,913213.51005,0,0,0,138.376,15.06,0.821929824561,aac25fad67df0a9377f011c442d1a5deb25ea70992693d70b98b7ca96f0d2c30,93cc0fb640d34569e1a3eae140c463b2d00a6ffc930ec059aa7038c3e757cf1a
2019-10-16,vspd-v3-final-pricing,violation,48,48,1946638.4562,4165000,1.4,0,288.504,33.245,0.842340189468,060fb58cddb25ad9fa83ee7081c159abcd11e25fc74254ccf8ab6af7e82da7ab,7dd35de091b769e005618127fe5082b74d69972257646bf131bc05b16762e5f0
2019-10-21,vspd-v3-final-pricing,violation,48,48,952319.41231,10710000,11.8,0,156.866,6.75,0.814912280702,6f3bfa4013bea7691db164bc5092e0be576b4946ecf458a87b5bb2b7b31e5e7e,2cc385aa732370075f3a0e4087454d0a3001442a842e7bbbffd0a9bf05503440
2019-11-26,vspd-v3-final-pricing,violation,48,48,1261919.34049,2652000,3.12,0,194.926,6.75,0.86998487679,e1ce3219b3bb902416b0165c5906efe3650c7c7597ef2d57f7b7f80331f108ae,9ca67b429f75db40c3241728b73cee157b0b754fa49e01621fb68fe5a7316f50
2023-01-26,vspd-v5.0.6,violation,48,294,23089354.2928,10505478.5701,2.305,0,377.838442857,70,0.919495149442,60dcb983824af32f35e127c910e9dfeb1a1f5f2f54b11e9fff018a25a2fa82bc,7ff0591d871f6fdc57b877d406911be9d7aab2eca08e89991fdd30e1201bf43a
2023-02-14,vspd-v5.0.6,violation,48,321,1910864.02554,11651383.5613,14.33665,0,289.786028571,102.63,0.821380586553,9a4443cc8a811d958ca4e6f2aeee5ad87eca2723ddd56a391b3f6ca8f215baeb,e76563461b7b42022f49dbc3fb845411d9144a2017f1f09aa003572bddbc6745
